domain,site,year,site_yr_id,river_group_id,river_name,water_index,polygon_id,seg_id,description,pt1,pt2,downstream_pt,upstream_pt
D19,BONA,2021,2021_BONA_4,chatanika,Chatanika River,NA,175,175,east side of flight box to small bridge,390,2439,2445,"NA"
D19,BONA,2021,2021_BONA_4,chatanika,Chatanika River,NA,145,145,small bridge to west side of flight box,2445,6164,"NA",2439
D12,YELL,2020,2020_YELL_3,yellowstone,Yellowstone River,NA,159,159main,north side of flight box to bridge,1,8695,"NA",8698
D12,YELL,2020,2020_YELL_3,yellowstone,Hellroaring Creek,NA,159,159a,tributary to yellowstone,1167,1,NA,NA
D12,YELL,2020,2020_YELL_3,yellowstone,Lamar River,NA,159,159b,tributary to yellowstone,8424,1,NA,NA
D12,YELL,2020,2020_YELL_3,yellowstone,Yellowstone River,NA,73,73a,bridge to south edge of flight box,8698,11084,8698,"NA"
D12,YELL,2020,2020_YELL_3,yellowstone,Tower Creek,NA,73,73b,tributary to yellowstone including tower falls,10590,8698,NA,NA
D12,YELL,2020,2020_YELL_3,yellowstone,Tower Creek,NA,82,82,upstream of tower falls,10700,10636,NA,NA
D12,YELL,2020,2020_YELL_3,yellowstone,Tower Creek,NA,115,115,upstream of tower falls,10788,10730,NA,NA
D12,YELL,2020,2020_YELL_3,yellowstone,Tower Creek,NA,7,7,upstream of Grand Loop Road,10915,10841,NA,NA
D12,YELL,2020,2020_YELL_3,yellowstone,Tower Creek,NA,83,83,upstream of Grand Loop Road,11044,10931,NA,NA
D12,YELL,2020,2020_YELL_3,yellowstone,Tower Creek,NA,94,94,upstream of campground,11451,11053,NA,NA
D12,YELL,2020,2020_YELL_3,lava,Lava Creek,NA,NA,NA,"includes Undine Falls, spatially intermittent",NA,NA,NA,NA
D06,UKFS,2020,2020_UKFS_5,kansas,Kansas River,NA,32,32,upstream of Bowerstock dam,246,4104,NA,NA
D06,UKFS,2020,2020_UKFS_5,kansas,Kansas River,NA,1,1,between Kansas turnpike and Vermont street,4688,7951,NA,NA
D06,UKFS,2020,2020_UKFS_5,kansas,Kansas River,NA,96,96,through and downstream of bowerstock dam,8654,12885,NA,NA
D03,JERC,2021,2021_JERC_6,jerc,Flint River,NA,79,79main,top to bottom of flight box,5680,26301,NA,NA
D03,JERC,2021,2021_JERC_6,jerc,Ichawaynochoway Creek,NA,79,79a,to Flint River,23493,26301,NA,NA
D03,JERC,2021,2021_JERC_6,jerc,Ichawaynochoway Creek,NA,102,102,NA,NA,NA,NA,NA
D03,JERC,2021,2021_JERC_6,jerc,Ichawaynochoway Creek,NA,43,43,NA,NA,NA,NA,NA
D03,JERC,2021,2021_JERC_6,jerc,Ichawaynochoway Creek,NA,110,110,NA,NA,NA,NA,NA
D03,JERC,2021,2021_JERC_6,jerc,Ichawaynochoway Creek,NA,29,29,NA,NA,NA,NA,NA
D03,JERC,2021,2021_JERC_6,jerc,Ichawaynochoway Creek,NA,75,75,NA,NA,NA,NA,NA
D03,JERC,2021,2021_JERC_6,jerc,Ichawaynochoway Creek,NA,103,103,NA,NA,NA,NA,NA
D03,JERC,2021,2021_JERC_6,jerc,Ichawaynochoway Creek,NA,66,66,NA,NA,NA,NA,NA
D03,JERC,2021,2021_JERC_6,jerc,Ichawaynochoway Creek,NA,108,108,NA,NA,NA,NA,NA
D03,JERC,2021,2021_JERC_6,jerc,Ichawaynochoway Creek,NA,126,126,NA,NA,NA,NA,NA
